OBJECTID;Name;Address;Postcode;Ward;Toilet opening hours;Male (no. of);Urinals (no. of);Female (no. of);Unisex (no.of);Accessible (no. of);Accessibility info;Changing Place;Automatic opening door;Pull cord monitored (Y/N/Times);Radar Key;Baby change;Family Toilet;Automatic Public Convenience;Attended;Full Time Staffing;geo_shape;geo_point_2d
141;Bishopston Library;Bishopston Library, Gloucester Road, Bishopston, Bristol;BS7 8BN;Redland;1pm-7pm Monday, 11am-5pm Wednesday, Thursday, Friday and Saturday;;;;1;1;Level access entry, automatic opening doors, accessible lift to first floor, accessible toilet.;N;;;;;N;N;N;N;"{""coordinates"": [-2.5916802974381072, 51.474904218354304], ""type"": ""Point""}";51.474904218354304,-2.5916802974381072
159;Windmill Hill City Farm;Philip Street, Bedminster, Bristol;BS3 4EA;Southville;Monday-Sunday 09:00-17:00. Closed December 25-January 2;1;2;1;2;2;YES - Cafe toilets are accessible;;N;Yes. During opening hours;N;Y;Y;N;;Y;"{""coordinates"": [-2.592827530865388, 51.44231204271132], ""type"": ""Point""}";51.44231204271132,-2.592827530865388
514;Bristol Museum and Art Gallery;Queens Road, Bristol;BS8 1RL;Central;OPEN Tues- Sun 10:30- 17:00;1;3;1;;1;YES;N;N;y during opentimes;N;Y;;N;N;;"{""coordinates"": [-2.605155635130489, 51.45628514060206], ""type"": ""Point""}";51.45628514060206,-2.605155635130489
4481;Air Balloon Surgery;Kenn Rd, St George, Bristol;BS5 7PD;St George Central;Monday-Friday 08:00-18:30;1;;1;;1;YES - Door 90cm. Cubical 240x180cm. Seat height 46cm, handrails;N;N;Yes during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.532468298079203, 51.4589358738141], ""type"": ""Point""}";51.4589358738141,-2.532468298079203
3457;The Old Crow;Crow Lane;BS10 7DR;Henbury & Brentry;Monday - Sunday 11:00 - 23:00;2;7;2;0;0;NONE;N;N;No;N;N;N;N;Y;Y;"{""coordinates"": [-2.618818405669479, 51.50993181879535], ""type"": ""Point""}";51.50993181879535,-2.618818405669479
5;Blaise Castle Estate Public Conveniences;Kings Weston Road, Kingsweston, Bristol;BS10 7QT;Henbury & Brentry;Winter Monday - Sunday 08.30 -15:30. Summer Monday - Friday  8:30 - 16.00 hours, excluding Christmas Day;2;1;5;0;1;YES - Movable hand rail, Coor 91cm, Cubical 220x270. Height of seat 43cm, mirror, no reflective wall, non slip floor accessible locks;N;;yes;Y;Y;N;N;;N;"{""coordinates"": [-2.636652172538088, 51.50543521698825], ""type"": ""Point""}";51.50543521698825,-2.636652172538088
44;Redcatch Park Public Conveniences;Broad Walk, Knowle, Bristol;BS4 2RA;Knowle;7.00 until 16.30 winter - 20.00 summer hours, excluding Christmas Day;2;1;2;;1;YES - Support rail mobile door 80cm, 175x100cm cubical, seat 47cm, non reflective wall, non slip floor, accessible lock;N;N;no;Y;N;N;N;N;N;"{""coordinates"": [-2.5719354058107493, 51.43400238208885], ""type"": ""Point""}";51.43400238208885,-2.5719354058107493
43;Canford Cemetery - Public Convenience;Canford Lane Westbury-on-Trym, Bristol;BS9 3PQ;Westbury-on-Trym & Henleaze;Summer opening Daily 10:00-17:30, winter opening Daily 10:00-15:30;0;0;0;1;1;YES - Cubicle size 200 x 180cm, seat height 48cm, handrails;N;N;Y;N;N;N;N;N;N;"{""coordinates"": [-2.626473344097125, 51.4931560370927], ""type"": ""Point""}";51.4931560370927,-2.626473344097125
31;Stoke Road Public Toilets;Stoke Road by the Water Tower, BS9 1FG;BS9 1FG;Stoke Bishop;7 days per week, 7:45 - 20:15;4;5.4m;9;;Yes;;N;;;;;N;N;;N;"{""coordinates"": [-2.617671460089965, 51.47177577013589], ""type"": ""Point""}";51.47177577013589,-2.617671460089965
65;Waitrose - Henleaze;51 Northumbria Drive;BS9 4HN;Westbury-on-Trym & Henleaze;Monday-Saturday 7.30am-9pm, Sunday 10am-4pm;0;0;0;1;1;YES - Cubical size 180-240cm. Seat height 48cm. Handrails;N;N;Yes- during open times;N;Y;N;N;Y;Y;"{""coordinates"": [-2.612286944955717, 51.48040001598139], ""type"": ""Point""}";51.48040001598139,-2.612286944955717
71;McDonald's - Hengrove Leisure Park;"Hengrove Leisure Park, Hengrove Way,
BS14 0HR";BS14 0HR;Hengrove & Whitchurch Park;07:00 - 23:00;Yes;?;Yes;;0;;N;;;;Yes;N;N;;N;"{""coordinates"": [-2.588603396274801, 51.41680109233672], ""type"": ""Point""}";51.41680109233672,-2.588603396274801
90;Stonehouse Pizza and Carvery;Henbury Arms 189 Henbury Road;BS10 7AD;Henbury & Brentry;Monday - Sunday  08:00 - 22:00;2;5;2;0;1;YES - Cubical size 200x140cm. Seat height 48cm. Handrails.;N;N;Yes - During opentimes;N;N;N;N;Y;Y;"{""coordinates"": [-2.628406413865322, 51.50595866709737], ""type"": ""Point""}";51.50595866709737,-2.628406413865322
145;St George Library;St George Library, Church Road, St George, Bristol;BS5 8AL;St George West;3-7 Monday, 10 - 2 Tuesday, 1-5 Wednesday, 10-2 Thursday, 1-5 Friday, 11-5 Saturday;;;;1;Yes;;N;N;N;N;Y;N;N;N;N;"{""coordinates"": [-2.544294752361263, 51.46049502773744], ""type"": ""Point""}";51.46049502773744,-2.544294752361263
147;We the Curious - Cafe;Anchor Road, Bristol;BS1 5DB;Hotwells & Harbourside;Monday-Friday 10:00-17:00, (during term time), 10:00-18:00, weekends, bank holidays and Bristol school holidays;0;0;0;2;1;YES - Support rail door 90cm, Cubical size 220 x 168cm, Seat 48cm, non slip floor, large catch. Hoist;N;;yes;Y;Y;N;N;;N;"{""coordinates"": [-2.600487222378811, 51.450419442926425], ""type"": ""Point""}";51.450419442926425,-2.600487222378811
577;V-shed (JD Weatherspoons);V Shed, Canon's Road;BS1 5UH;Hotwells & Harbourside;Monday 8:00-00:00, Tuesday 8:00-1:00, Wednesday-Friday 8:00-2:00, Saturday 8:00-3:00, Sunday 8:00-00:00;3;5;9;;1;YES - Moveable support rail, door width 29cm, cubical size 207 x 314cm, seat height 44cm, mirror, colour contrasting, non-slip floor;N;;yes;Y;Y;N;;;;"{""coordinates"": [-2.598836879506405, 51.44968847639465], ""type"": ""Point""}";51.44968847639465,-2.598836879506405
2737;A4 Portway Park & Ride;A4 Portway, Bristol;BS11 9QE;Avonmouth & Lawrence Weston;Monday-Saturday 06:00-21:40 Sunday 09:00-18:40;;;;;1;YES - Cublical size 150-300cm, Seat height 48cm, handrails;N;N;Yes - During opperational times;N;N;N;N;N;N;"{""coordinates"": [-2.688597520939447, 51.489985121201585], ""type"": ""Point""}";51.489985121201585,-2.688597520939447
6481;Bedminster Library;4, St Peters Court, Bedminster Parade, Bedminster, Bristol;BS3 4AQ;Southville;Monday, Wednesday 10am - 7pm, Thursday, Friday, Saturday 10am - 5pm, Closed Tuesday and Sunday.;0;0;0;1;1;Radar key required. Door width 93cm, cubicle 230x198cm, seat hight 48cm, Handrails. Low level lighting;;N;;Y;Y;N;N;N;;"{""coordinates"": [-2.593713439425774, 51.44426543770273], ""type"": ""Point""}";51.44426543770273,-2.593713439425774
610;The Range;Imperial Retail Park, Hartcliffe Way, Bristol;BS13 7TJ;Bishopsworth;Monday-Saturday 8:30-20:00, Sunday 10:00-17:00;1;1;3;;1;YES - Support rail movable, Cubical size 240x235, Height of seat 49cm, Door width 19, Mirror, Non-slip floor, Non reflective wall;;;;;Y;;;;;"{""coordinates"": [-2.6026119078912293, 51.416801069611395], ""type"": ""Point""}";51.416801069611395,-2.6026119078912293
11;Hengrove Play Park, Hengrove Leisure Centre,;"Hengrove way, Hengrove, Bristol,
BS14 0HR";BS14 0HR;Hengrove & Whitchurch Park;Only open when Play Park is open.;;;;;1;YES;N;;;;;N;N;;N;"{""coordinates"": [-2.584913660150191, 51.41543110059432], ""type"": ""Point""}";51.41543110059432,-2.584913660150191
46;St Andrews Park - Public Conveniences;Melita Rd (& Effingham Road), Bristol;BS6 5AZ;Ashley;Monday - Sunday 7:30-21:00, excluding Christmas Day;1;2;3;0;1;currently vandalised closed;N;N;;Y;N;N;N;;N;"{""coordinates"": [-2.5870397331465833, 51.47401541579891], ""type"": ""Point""}";51.47401541579891,-2.5870397331465833
15;Blackboy Hill Urinal;Top of Blackboy Hill (Westbury Road) just before the Downs;BS8 1PB;Clifton Down;;Yes;3m;No;;0;NONE;N;;;;No;N;N;;N;"{""coordinates"": [-2.61541303107272, 51.47086151214142], ""type"": ""Point""}";51.47086151214142,-2.61541303107272
146;Mshed;Prince's Wharf, Wapping Road;BS1 4RN;Central;Tuesday-Sunday 10am-5pm also open Mondays during Bristol school holidays 10:00-17:00;3;8;3;;2;YES - 2 fully accessible, on ground floor and first floor;N;;;;Y;N;N;N;N;"{""coordinates"": [-2.597977227529359, 51.44774378867], ""type"": ""Point""}";51.44774378867,-2.597977227529359
158;JD Weatherspoon - The Robert Fitzharding;"The Robert Fitzharding, 24 Cannon St, Bedminster,
BS3 1BN";BS3 1BN;Southville;Sunday- Thursday 08:00- 00:00 Friday and Saturday 08:00 - 01:00;5;4;6;;1;YES - Door: 95cm, Cubical: 200x160cm, Seat height: 44cm, Handrails.;N;N;Y during open times;Y;Y;N;N;Y;Y;"{""coordinates"": [-2.6008703511839233, 51.4411830760796], ""type"": ""Point""}";51.4411830760796,-2.6008703511839233
134;McDonald's - Avonmeads;Avonmeads Retail park, St Philips Causeway;BS2 0SP;Lawrence Hill;06:00 - 23:00;Yes;?;Yes;;0;;N;;;;Yes;N;N;;N;"{""coordinates"": [-2.560368972704083, 51.44718357349885], ""type"": ""Point""}";51.44718357349885,-2.560368972704083
611;Hengrove Leisure centre;;;Hengrove & Whitchurch Park;;;;;;1;;;;;;;;;;;"{""coordinates"": [-2.584558101587172, 51.413169761951], ""type"": ""Point""}";51.413169761951,-2.584558101587172
596;Knowle West Media Centre;Linster Avenue;BS4 1NL;Filwood;Monday -Friday 9:30-17:00;2;;2;;1;YES - Door width 90cm. cubical size 150-210cm. Seat height 48cm.;N;N;Yes- during open times;N;Y;;N;Y;Y;"{""coordinates"": [-2.593129767220259, 51.42547936338119], ""type"": ""Point""}";51.42547936338119,-2.593129767220259
5474;Tenpin Bristol;St Phillips causeway;BS2 0SP;Lawrence Hill;Monday-Friday 11am to 11pm, Saturday 10am to 11pm, Sunday 10am to 11pm;2;4;7;;1;YES - Door width 85cm, Cubical 170 cm x180 cm, Hand rails, Accessible lock.;N;N;Monitored during operational hour;;;;;;;"{""coordinates"": [-2.560194034424857, 51.44884529553361], ""type"": ""Point""}";51.44884529553361,-2.560194034424857
